time,event,ip,user,password,input
2026-05-23T21:22:23.182714Z,cowrie.session.connect,127.0.0.1,,,
2026-05-23T21:22:23.184274Z,cowrie.client.version,127.0.0.1,,,
2026-05-23T21:22:23.186659Z,cowrie.client.kex,127.0.0.1,,,
2026-05-23T21:23:15.849040Z,cowrie.login.failed,127.0.0.1,test,11212www1222,
2026-05-23T21:23:23.331386Z,cowrie.login.failed,127.0.0.1,test,hmariancdbchb123456,
2026-05-23T21:24:11.359403Z,cowrie.login.failed,127.0.0.1,test,ma112223456789maria,
2026-05-23T21:24:12.370150Z,cowrie.session.closed,127.0.0.1,,,
2026-05-23T21:28:57.420284Z,cowrie.session.connect,127.0.0.1,,,
2026-05-23T21:28:57.422362Z,cowrie.client.version,127.0.0.1,,,
2026-05-23T21:28:57.426238Z,cowrie.client.kex,127.0.0.1,,,
2026-05-23T21:29:04.634740Z,cowrie.login.failed,127.0.0.1,test,maria,
2026-05-23T21:30:57.526583Z,cowrie.session.closed,127.0.0.1,,,
